month,cumulative_month,scenario,monthly_revenue,monthly_fixed_costs,monthly_variable_costs,monthly_total_costs,monthly_profit,cumulative_investment,cumulative_revenue,cumulative_profit
Month 1,1,1 Team,16280,8795,3005,11800,4480,-12925,16280,-8445
Month 2,2,1 Team,14800,8795,3005,11800,3000,-12925,31080,-5445
Month 3,3,1 Team,20350,8795,3405,12200,8150,-12925,51430,2705
Month 4,4,1 Team,20900,8795,3405,12200,8700,-12925,72330,11405
Month 5,5,1 Team,32340,8795,4705,13500,18840,-12925,104670,30245
Month 6,6,1 Team,15840,8795,3005,11800,4040,-12925,120510,34285
Month 7,7,1 Team,15400,8795,2805,11600,3800,-12925,135910,38085
Month 8,8,1 Team,38720,8795,5405,14200,24520,-12925,174630,62605
Month 9,9,1 Team,20350,8795,3405,12200,8150,-12925,194980,70755
Month 10,10,1 Team,20350,8795,3405,12200,8150,-12925,215330,78905
Month 11,11,1 Team,20900,8795,3405,12200,8700,-12925,236230,87605
Month 12,12,1 Team,25740,8795,4005,12800,12940,-12925,261970,100545
Month 1,1,2 Teams,32560,16590,6010,22600,9960,-24525,32560,-14565
Month 2,2,2 Teams,29600,16590,6010,22600,7000,-24525,62160,-7565
Month 3,3,2 Teams,41800,16590,7210,23800,18000,-24525,103960,10435
Month 4,4,2 Teams,42900,16590,7210,23800,19100,-24525,146860,29535
Month 5,5,2 Teams,66220,16590,9610,26200,40020,-24525,213080,69555
Month 6,6,2 Teams,40700,16590,6810,23400,17300,-24525,253780,86855
Month 7,7,2 Teams,31680,16590,6010,22600,9080,-24525,285460,95935
Month 8,8,2 Teams,79200,16590,11010,27600,51600,-24525,364660,147535
Month 9,9,2 Teams,41800,16590,7210,23800,18000,-24525,406460,165535
Month 10,10,2 Teams,50160,16590,8010,24600,25560,-24525,456620,191095
Month 11,11,2 Teams,51480,16590,8010,24600,26880,-24525,508100,217975
Month 12,12,2 Teams,61600,16590,9210,25800,35800,-24525,569700,253775
